Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  3,375,400 ptrs | 2,042,078 records | 11810 ptr/s | 6 inv-err
  3,376,600 ptrs | 2,042,826 records | 11812 ptr/s | 6 inv-err
  3,378,200 ptrs | 2,043,931 records | 11812 ptr/s | 6 inv-err
  3,390,400 ptrs | 2,052,156 records | 11819 ptr/s | 6 inv-err
  3,420,200 ptrs | 2,073,197 records | 11816 ptr/s | 6 inv-err
  3,431,400 ptrs | 2,081,573 records | 11820 ptr/s | 6 inv-err
  3,435,400 ptrs | 2,084,341 records | 11820 ptr/s | 6 inv-err
  3,446,800 ptrs | 2,092,644 records | 11831 ptr/s | 6 inv-err
  3,454,000 ptrs | 2,097,999 records | 11833 ptr/s | 6 inv-err
  3,462,200 ptrs | 2,103,819 records | 11827 ptr/s | 6 inv-err
  3,479,400 ptrs | 2,114,962 records | 11833 ptr/s | 6 inv-err
  3,485,000 ptrs | 2,119,038 records | 11840 ptr/s | 6 inv-err
  3,489,400 ptrs | 2,122,346 records | 11840 ptr/s | 6 inv-err
  3,506,800 ptrs | 2,134,436 records | 11847 ptr/s | 6 inv-err
  3,511,600 ptrs | 2,137,486 records | 11848 ptr/s | 6 inv-err
  3,530,200 ptrs | 2,150,584 records | 11848 ptr/s | 6 inv-err
  3,530,800 ptrs | 2,150,867 records | 11848 ptr/s | 6 inv-err
  3,533,400 ptrs | 2,152,397 records | 11850 ptr/s | 6 inv-err
  3,551,400 ptrs | 2,163,791 records | 11854 ptr/s | 6 inv-err
  3,558,000 ptrs | 2,167,513 records | 11857 ptr/s | 6 inv-err
  3,567,200 ptrs | 2,173,810 records | 11856 ptr/s | 6 inv-err
  3,570,600 ptrs | 2,176,266 records | 11860 ptr/s | 6 inv-err
  3,572,400 ptrs | 2,177,484 records | 11860 ptr/s | 6 inv-err
  3,585,800 ptrs | 2,187,029 records | 11861 ptr/s | 6 inv-err
  3,586,600 ptrs | 2,187,668 records | 11860 ptr/s | 6 inv-err
  3,597,800 ptrs | 2,195,473 records | 11859 ptr/s | 6 inv-err
  3,633,400 ptrs | 2,218,572 records | 11871 ptr/s | 6 inv-err
  3,633,600 ptrs | 2,218,751 records | 11870 ptr/s | 6 inv-err
  3,647,800 ptrs | 2,229,597 records | 11874 ptr/s | 6 inv-err
  3,650,200 ptrs | 2,231,472 records | 11877 ptr/s | 6 inv-err
