Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,178,400 ptrs | 1,744,783 records | 10393 ptr/s | 0 inv-err
  2,180,000 ptrs | 1,746,041 records | 10398 ptr/s | 0 inv-err
  2,187,200 ptrs | 1,751,691 records | 10400 ptr/s | 0 inv-err
  2,196,200 ptrs | 1,758,767 records | 10399 ptr/s | 0 inv-err
  2,225,200 ptrs | 1,781,752 records | 10388 ptr/s | 0 inv-err
  2,233,800 ptrs | 1,788,532 records | 10397 ptr/s | 0 inv-err
  2,237,000 ptrs | 1,791,040 records | 10394 ptr/s | 0 inv-err
  2,250,000 ptrs | 1,801,345 records | 10396 ptr/s | 0 inv-err
  2,254,600 ptrs | 1,804,996 records | 10401 ptr/s | 0 inv-err
  2,264,600 ptrs | 1,812,939 records | 10395 ptr/s | 0 inv-err
  2,265,200 ptrs | 1,813,407 records | 10396 ptr/s | 0 inv-err
  2,275,600 ptrs | 1,821,711 records | 10403 ptr/s | 0 inv-err
  2,298,800 ptrs | 1,840,177 records | 10408 ptr/s | 0 inv-err
  2,311,600 ptrs | 1,850,232 records | 10403 ptr/s | 0 inv-err
  2,326,200 ptrs | 1,861,692 records | 10410 ptr/s | 0 inv-err
  2,329,000 ptrs | 1,863,955 records | 10413 ptr/s | 0 inv-err
  2,338,800 ptrs | 1,871,676 records | 10405 ptr/s | 0 inv-err
  2,350,000 ptrs | 1,880,526 records | 10403 ptr/s | 0 inv-err
  2,366,200 ptrs | 1,893,373 records | 10409 ptr/s | 0 inv-err
  2,370,200 ptrs | 1,896,459 records | 10415 ptr/s | 0 inv-err
  2,380,000 ptrs | 1,904,215 records | 10413 ptr/s | 0 inv-err
  2,384,800 ptrs | 1,907,985 records | 10413 ptr/s | 0 inv-err
  2,412,200 ptrs | 1,929,675 records | 10418 ptr/s | 0 inv-err
  2,418,000 ptrs | 1,934,316 records | 10414 ptr/s | 0 inv-err
  2,420,400 ptrs | 1,936,139 records | 10410 ptr/s | 0 inv-err
  2,425,400 ptrs | 1,940,111 records | 10403 ptr/s | 0 inv-err
  2,433,200 ptrs | 1,946,331 records | 10383 ptr/s | 0 inv-err
  2,445,000 ptrs | 1,954,969 records | 10380 ptr/s | 0 inv-err
  2,446,200 ptrs | 1,955,821 records | 10377 ptr/s | 0 inv-err
  2,473,400 ptrs | 1,975,422 records | 10352 ptr/s | 0 inv-err
  2,483,400 ptrs | 1,982,541 records | 10355 ptr/s | 0 inv-err
  2,491,600 ptrs | 1,988,242 records | 10345 ptr/s | 0 inv-err
  2,497,400 ptrs | 1,992,293 records | 10329 ptr/s | 0 inv-err
  2,519,200 ptrs | 2,007,695 records | 10335 ptr/s | 0 inv-err
  2,527,000 ptrs | 2,013,210 records | 10334 ptr/s | 0 inv-err
  2,536,800 ptrs | 2,020,303 records | 10321 ptr/s | 0 inv-err
  2,540,000 ptrs | 2,022,588 records | 10302 ptr/s | 0 inv-err
  2,544,200 ptrs | 2,025,664 records | 10300 ptr/s | 0 inv-err
  2,566,800 ptrs | 2,042,034 records | 10314 ptr/s | 0 inv-err
  2,576,400 ptrs | 2,048,996 records | 10313 ptr/s | 0 inv-err
  2,580,800 ptrs | 2,052,207 records | 10300 ptr/s | 0 inv-err
  2,598,400 ptrs | 2,064,901 records | 10278 ptr/s | 0 inv-err
  2,599,800 ptrs | 2,065,937 records | 10278 ptr/s | 0 inv-err
  2,605,200 ptrs | 2,069,887 records | 10276 ptr/s | 0 inv-err
  2,608,800 ptrs | 2,072,489 records | 10277 ptr/s | 0 inv-err
  2,630,000 ptrs | 2,087,868 records | 10279 ptr/s | 0 inv-err
  2,647,600 ptrs | 2,100,379 records | 10264 ptr/s | 0 inv-err
  2,660,200 ptrs | 2,109,521 records | 10240 ptr/s | 0 inv-err
  2,664,600 ptrs | 2,112,598 records | 10242 ptr/s | 0 inv-err
  2,677,000 ptrs | 2,121,387 records | 10247 ptr/s | 0 inv-err
  2,683,200 ptrs | 2,125,739 records | 10246 ptr/s | 0 inv-err
  2,686,800 ptrs | 2,128,248 records | 10245 ptr/s | 0 inv-err
  2,713,400 ptrs | 2,147,366 records | 10229 ptr/s | 0 inv-err
  2,716,200 ptrs | 2,149,393 records | 10228 ptr/s | 0 inv-err
  2,724,600 ptrs | 2,155,304 records | 10226 ptr/s | 0 inv-err
  2,727,600 ptrs | 2,157,480 records | 10226 ptr/s | 0 inv-err
