Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,477,400 ptrs | 1,260,840 records | 8448 ptr/s | 1 inv-err
  2,485,400 ptrs | 1,264,914 records | 8455 ptr/s | 1 inv-err
  2,499,400 ptrs | 1,272,182 records | 8464 ptr/s | 1 inv-err
  2,500,600 ptrs | 1,272,663 records | 8466 ptr/s | 1 inv-err
  2,506,000 ptrs | 1,275,373 records | 8466 ptr/s | 1 inv-err
  2,524,400 ptrs | 1,284,374 records | 8478 ptr/s | 1 inv-err
  2,543,800 ptrs | 1,293,890 records | 8471 ptr/s | 2 inv-err
  2,546,200 ptrs | 1,295,205 records | 8466 ptr/s | 2 inv-err
  2,555,600 ptrs | 1,299,682 records | 8477 ptr/s | 2 inv-err
  2,584,200 ptrs | 1,314,418 records | 8424 ptr/s | 2 inv-err
  2,588,400 ptrs | 1,316,676 records | 8416 ptr/s | 2 inv-err
  2,599,200 ptrs | 1,322,038 records | 8377 ptr/s | 2 inv-err
  2,600,000 ptrs | 1,322,440 records | 8372 ptr/s | 2 inv-err
  2,619,600 ptrs | 1,332,010 records | 8336 ptr/s | 2 inv-err
  2,621,400 ptrs | 1,332,979 records | 8336 ptr/s | 2 inv-err
  2,631,200 ptrs | 1,338,179 records | 8330 ptr/s | 2 inv-err
  2,640,000 ptrs | 1,342,580 records | 8338 ptr/s | 2 inv-err
  2,648,600 ptrs | 1,346,981 records | 8348 ptr/s | 2 inv-err
  2,648,800 ptrs | 1,347,094 records | 8349 ptr/s | 2 inv-err
  2,662,200 ptrs | 1,353,930 records | 8360 ptr/s | 2 inv-err
  2,696,200 ptrs | 1,371,281 records | 8364 ptr/s | 2 inv-err
  2,697,000 ptrs | 1,371,722 records | 8366 ptr/s | 2 inv-err
  2,704,000 ptrs | 1,375,385 records | 8370 ptr/s | 2 inv-err
  2,706,200 ptrs | 1,376,449 records | 8364 ptr/s | 2 inv-err
  2,714,000 ptrs | 1,380,630 records | 8367 ptr/s | 2 inv-err
  2,746,000 ptrs | 1,397,141 records | 8352 ptr/s | 2 inv-err
  2,752,000 ptrs | 1,400,162 records | 8350 ptr/s | 2 inv-err
